date,state,population,cases,recovered,deceased,tests,normal_beds,ICU_beds,day,dow
2020-04-24,Steiermark,1247077.0,1344.0,744.0,103.0,23673.0,75.0,13.0,59,Friday
2020-04-24,Wien,1920949.0,2019.0,1406.0,125.0,47206.0,120.0,25.0,59,Friday
2020-04-25,Niederösterreich,1690879.0,2055.0,1518.0,88.0,24800.0,77.0,37.0,60,Saturday
2020-04-25,Oberösterreich,1495608.0,1717.0,1348.0,42.0,34849.0,56.0,15.0,60,Saturday
2020-04-25,Steiermark,1247077.0,1362.0,757.0,104.0,24949.0,65.0,12.0,60,Saturday
2020-04-25,Wien,1920949.0,2038.0,1425.0,130.0,48607.0,126.0,23.0,60,Saturday
2020-04-26,Niederösterreich,1690879.0,2059.0,1534.0,88.0,25849.0,81.0,39.0,61,Sunday
2020-04-26,Oberösterreich,1495608.0,1719.0,1355.0,43.0,35501.0,53.0,14.0,61,Sunday
2020-04-26,Steiermark,1247077.0,1374.0,763.0,106.0,25666.0,64.0,12.0,61,Sunday
2020-04-26,Wien,1920949.0,2049.0,1436.0,133.0,50973.0,119.0,23.0,61,Sunday
2020-04-27,Niederösterreich,1690879.0,2068.0,1578.0,88.0,27250.0,76.0,37.0,62,Monday
2020-04-27,Oberösterreich,1495608.0,1723.0,1377.0,43.0,36230.0,55.0,11.0,62,Monday
2020-04-27,Steiermark,1247077.0,1384.0,800.0,106.0,26126.0,63.0,12.0,62,Monday
2020-04-27,Wien,1920949.0,2086.0,1464.0,137.0,51804.0,118.0,23.0,62,Monday
2020-04-28,Niederösterreich,1690879.0,2076.0,1606.0,88.0,28534.0,75.0,35.0,63,Tuesday
2020-04-28,Oberösterreich,1495608.0,1726.0,1401.0,45.0,37146.0,46.0,14.0,63,Tuesday
2020-04-28,Steiermark,1247077.0,1388.0,821.0,111.0,26908.0,64.0,10.0,63,Tuesday
2020-04-28,Wien,1920949.0,2112.0,1491.0,141.0,53114.0,116.0,21.0,63,Tuesday
2020-04-29,Niederösterreich,1690879.0,2093.0,1640.0,89.0,29741.0,68.0,36.0,64,Wednesday
2020-04-29,Oberösterreich,1495608.0,1728.0,1426.0,46.0,38144.0,39.0,12.0,64,Wednesday
2020-04-29,Steiermark,1247077.0,1393.0,849.0,115.0,27813.0,57.0,12.0,64,Wednesday
2020-04-29,Wien,1920949.0,2141.0,1521.0,142.0,55147.0,110.0,21.0,64,Wednesday
2020-04-30,Niederösterreich,1690879.0,2099.0,1690.0,89.0,31034.0,66.0,36.0,65,Thursday
2020-04-30,Oberösterreich,1495608.0,1729.0,1455.0,46.0,39188.0,33.0,12.0,65,Thursday
2020-04-30,Steiermark,1247077.0,1401.0,881.0,116.0,28844.0,57.0,10.0,65,Thursday
2020-04-30,Wien,1920949.0,2173.0,1544.0,147.0,56750.0,108.0,21.0,65,Thursday
2020-05-01,Niederösterreich,1690879.0,2106.0,1709.0,89.0,31930.0,62.0,37.0,66,Friday
2020-05-01,Oberösterreich,1495608.0,1730.0,1483.0,46.0,40001.0,34.0,10.0,66,Friday
2020-05-01,Steiermark,1247077.0,1406.0,898.0,116.0,29979.0,51.0,10.0,66,Friday
2020-05-01,Wien,1920949.0,2197.0,1566.0,148.0,58413.0,102.0,22.0,66,Friday
2020-05-02,Niederösterreich,1690879.0,2107.0,1724.0,89.0,32438.0,55.0,35.0,67,Saturday
2020-05-02,Oberösterreich,1495608.0,1730.0,1495.0,46.0,40747.0,34.0,8.0,67,Saturday
2020-05-02,Steiermark,1247077.0,1408.0,910.0,116.0,30866.0,43.0,9.0,67,Saturday
2020-05-02,Wien,1920949.0,2217.0,1586.0,149.0,59457.0,101.0,21.0,67,Saturday
2020-05-03,Niederösterreich,1690879.0,2109.0,1738.0,91.0,32815.0,51.0,34.0,68,Sunday
2020-05-03,Oberösterreich,1495608.0,1732.0,1499.0,46.0,41188.0,39.0,9.0,68,Sunday
2020-05-03,Steiermark,1247077.0,1409.0,921.0,118.0,31215.0,38.0,9.0,68,Sunday
2020-05-03,Wien,1920949.0,2222.0,1595.0,151.0,60943.0,102.0,22.0,68,Sunday
2020-05-04,Niederösterreich,1690879.0,2115.0,1766.0,92.0,33646.0,51.0,35.0,69,Monday
2020-05-04,Oberösterreich,1495608.0,1732.0,1513.0,46.0,41843.0,32.0,8.0,69,Monday
2020-05-04,Steiermark,1247077.0,1412.0,957.0,119.0,31579.0,34.0,9.0,69,Monday
2020-05-04,Wien,1920949.0,2240.0,1617.0,151.0,62364.0,107.0,19.0,69,Monday
2020-05-05,Niederösterreich,1690879.0,2127.0,1787.0,94.0,34690.0,53.0,33.0,70,Tuesday
2020-05-05,Oberösterreich,1495608.0,1733.0,1536.0,46.0,42706.0,33.0,7.0,70,Tuesday
2020-05-05,Steiermark,1247077.0,1415.0,979.0,119.0,32158.0,32.0,9.0,70,Tuesday
2020-05-05,Wien,1920949.0,2270.0,1642.0,151.0,64413.0,116.0,20.0,70,Tuesday
2020-05-06,Niederösterreich,1690879.0,2138.0,1812.0,95.0,35997.0,55.0,29.0,71,Wednesday
2020-05-06,Oberösterreich,1495608.0,1735.0,1554.0,46.0,43698.0,30.0,6.0,71,Wednesday
2020-05-06,Steiermark,1247077.0,1423.0,1000.0,119.0,33003.0,32.0,8.0,71,Wednesday
2020-05-06,Wien,1920949.0,2292.0,1656.0,157.0,66538.0,125.0,20.0,71,Wednesday
2020-05-07,Niederösterreich,1690879.0,2148.0,1836.0,95.0,37010.0,48.0,28.0,72,Thursday
2020-05-07,Oberösterreich,1495608.0,1736.0,1571.0,46.0,44417.0,25.0,7.0,72,Thursday
2020-05-07,Steiermark,1247077.0,1427.0,1023.0,119.0,33702.0,31.0,7.0,72,Thursday
2020-05-07,Wien,1920949.0,2315.0,1676.0,160.0,67738.0,92.0,19.0,72,Thursday
2020-05-08,Niederösterreich,1690879.0,2157.0,1853.0,95.0,38048.0,45.0,28.0,73,Friday
2020-05-08,Oberösterreich,1495608.0,1737.0,1588.0,47.0,45271.0,24.0,4.0,73,Friday
2020-05-08,Steiermark,1247077.0,1432.0,1051.0,119.0,34368.0,32.0,6.0,73,Friday
