date,tests,normal_beds,ICU_beds,state
2020-05-24,69231,9,4,Tirol
2020-05-24,19543,0,0,Vorarlberg
2020-05-24,94212,58,13,Wien
2020-05-24,401857,108,29,Alle
2020-05-25,405341,108,31,Alle
2020-05-25,95237,60,14,Wien
2020-05-25,19543,0,0,Vorarlberg
2020-05-25,46349,6,1,Steiermark
2020-05-25,69519,9,4,Tirol
2020-05-25,57222,8,1,Oberösterreich
2020-05-25,11416,2,0,Burgenland
2020-05-25,31932,2,0,Salzburg
2020-05-25,58868,21,11,Niederösterreich
2020-05-25,15255,0,0,Kärnten
2020-05-26,411185,95,32,Alle
2020-05-26,96431,53,13,Wien
2020-05-26,19854,0,0,Vorarlberg
2020-05-26,46945,5,1,Steiermark
2020-05-26,70096,8,4,Tirol
2020-05-26,57949,6,1,Oberösterreich
2020-05-26,60525,19,13,Niederösterreich
2020-05-26,15717,0,0,Kärnten
2020-05-26,11571,2,0,Burgenland
2020-05-26,32097,2,0,Salzburg
2020-05-27,418706,84,32,Alle
2020-05-27,98344,45,14,Wien
2020-05-27,20095,0,0,Vorarlberg
2020-05-27,70667,7,4,Tirol
2020-05-27,47783,6,1,Steiermark
2020-05-27,32333,2,0,Salzburg
2020-05-27,62155,15,13,Niederösterreich
2020-05-27,12236,2,0,Burgenland
2020-05-27,59169,7,0,Oberösterreich
2020-05-27,15924,0,0,Kärnten
2020-05-28,12623,2,0,Burgenland
2020-05-28,16295,0,0,Kärnten
2020-05-28,64267,13,13,Niederösterreich
2020-05-28,60447,7,0,Oberösterreich
2020-05-28,32726,2,0,Salzburg
2020-05-28,71706,6,4,Tirol
2020-05-28,20477,0,0,Vorarlberg
2020-05-28,99988,40,12,Wien
2020-05-28,427372,77,30,Alle
2020-05-28,48843,7,1,Steiermark
2020-05-29,434302,78,25,Alle
2020-05-29,49559,6,1,Steiermark
2020-05-29,101078,36,10,Wien
2020-05-29,20871,0,0,Vorarlberg
2020-05-29,72349,9,3,Tirol
2020-05-29,32933,3,0,Salzburg
2020-05-29,66422,15,11,Niederösterreich
2020-05-29,16663,0,0,Kärnten
2020-05-29,12875,2,0,Burgenland
