date,state,population,cases,recovered,dead
2020-03-31,Niederösterreich,1690879,1174,172,19
2020-03-31,Kärnten,562089,188,25,3
2020-04-01,Österreich,8932664,7858,1162,135
2020-04-01,Wien,1920949,1242,196,25
2020-04-01,Vorarlberg,399237,431,79,4
2020-04-01,Steiermark,1247077,770,52,26
2020-04-01,Tirol,760105,1928,357,32
2020-04-01,Oberösterreich,1495608,1221,159,14
2020-04-01,Niederösterreich,1690879,1243,185,21
2020-04-01,Kärnten,562089,202,26,3
2020-04-01,Burgenland,296010,151,22,0
2020-04-01,Salzburg,560710,670,86,10
2020-04-02,Österreich,8932664,8291,1338,153
2020-04-02,Wien,1920949,1295,231,29
2020-04-02,Vorarlberg,399237,455,97,5
2020-04-02,Tirol,760105,2025,415,35
2020-04-02,Steiermark,1247077,814,59,32
2020-04-02,Salzburg,560710,707,90,10
2020-04-02,Niederösterreich,1690879,1340,203,24
2020-04-02,Kärnten,562089,210,29,4
2020-04-02,Burgenland,296010,158,29,0
2020-04-02,Oberösterreich,1495608,1287,185,14
2020-04-03,Österreich,8932664,8700,1580,169
2020-04-03,Wien,1920949,1365,276,30
2020-04-03,Vorarlberg,399237,473,111,6
2020-04-03,Tirol,760105,2114,492,40
2020-04-03,Steiermark,1247077,873,79,36
2020-04-03,Salzburg,560710,733,112,10
2020-04-03,Niederösterreich,1690879,1407,230,26
2020-04-03,Kärnten,562089,219,36,4
2020-04-03,Burgenland,296010,165,36,0
2020-04-03,Oberösterreich,1495608,1351,208,17
2020-04-04,Tirol,760105,2186,591,41
2020-04-04,Wien,1920949,1375,347,35
2020-04-04,Vorarlberg,399237,480,138,7
2020-04-04,Steiermark,1247077,929,105,40
2020-04-04,Österreich,8932664,8948,1879,187
2020-04-04,Oberösterreich,1495608,1396,233,19
2020-04-04,Burgenland,296010,177,36,0
2020-04-04,Salzburg,560710,742,140,12
2020-04-04,Niederösterreich,1690879,1438,246,28
2020-04-04,Kärnten,562089,225,43,5
2020-04-05,Burgenland,296010,181,40,0
2020-04-05,Kärnten,562089,231,44,5
2020-04-05,Niederösterreich,1690879,1466,254,32
2020-04-05,Oberösterreich,1495608,1433,250,19
2020-04-05,Salzburg,560710,753,177,14
2020-04-05,Steiermark,1247077,954,115,44
2020-04-05,Tirol,760105,2212,647,44
2020-04-05,Vorarlberg,399237,505,159,7
2020-04-05,Wien,1920949,1396,398,42
2020-04-05,Österreich,8932664,9131,2084,207
2020-04-06,Österreich,8932664,9434,2549,235
2020-04-06,Wien,1920949,1468,455,51
2020-04-06,Vorarlberg,399237,525,219,7
2020-04-06,Steiermark,1247077,993,157,50
2020-04-06,Tirol,760105,2249,811,49
2020-04-06,Oberösterreich,1495608,1449,305,20
2020-04-06,Burgenland,296010,185,46,0
2020-04-06,Salzburg,560710,764,194,15
2020-04-06,Niederösterreich,1690879,1562,307,38
2020-04-06,Kärnten,562089,239,55,5
2020-04-07,Österreich,8932664,9722,2913,261
2020-04-07,Wien,1920949,1519,523,56
2020-04-07,Vorarlberg,399237,549,260,8
2020-04-07,Steiermark,1247077,1037,186,53
2020-04-07,Tirol,760105,2281,888,57
2020-04-07,Oberösterreich,1495608,1481,354,22
2020-04-07,Niederösterreich,1690879,1629,350,42
2020-04-07,Kärnten,562089,247,69,6
2020-04-07,Burgenland,296010,188,58,0
2020-04-07,Salzburg,560710,791,225,17
2020-04-08,Österreich,8932664,10009,3415,277
2020-04-08,Wien,1920949,1581,608,60
2020-04-08,Vorarlberg,399237,559,294,8
2020-04-08,Tirol,760105,2332,1008,62
2020-04-08,Steiermark,1247077,1073,225,55
2020-04-08,Salzburg,560710,802,276,17
2020-04-08,Niederösterreich,1690879,1681,425,46
2020-04-08,Burgenland,296010,198,72,0
2020-04-08,Oberösterreich,1495608,1521,421,23
2020-04-08,Kärnten,562089,262,86,6
2020-04-09,Burgenland,296010,201,90,1
2020-04-09,Kärnten,562089,271,94,6
2020-04-09,Niederösterreich,1690879,1709,504,52
2020-04-09,Oberösterreich,1495608,1559,511,23
2020-04-09,Salzburg,560710,818,332,19
2020-04-09,Tirol,760105,2439,1133,67
2020-04-09,Vorarlberg,399237,567,315,8
2020-04-09,Wien,1920949,1615,674,65
2020-04-09,Österreich,8932664,10285,3912,299
2020-04-09,Steiermark,1247077,1106,259,58
2020-04-10,Österreich,8932664,10642,4445,320
2020-04-10,Steiermark,1247077,1137,291,61
2020-04-10,Wien,1920949,1659,744,75
2020-04-10,Vorarlberg,399237,591,344,8
2020-04-10,Tirol,760105,2565,1255,70
2020-04-10,Salzburg,560710,827,407,21
2020-04-10,Niederösterreich,1690879,1792,584,54
2020-04-10,Kärnten,562089,281,106,7
2020-04-10,Burgenland,296010,207,101,1
2020-04-10,Oberösterreich,1495608,1583,613,23
2020-04-11,Österreich,8932664,10845,4809,337
2020-04-11,Wien,1920949,1686,792,77
2020-04-11,Vorarlberg,399237,597,359,8
2020-04-11,Tirol,760105,2627,1337,73
2020-04-11,Steiermark,1247077,1162,308,65
2020-04-11,Salzburg,560710,834,439,21
2020-04-11,Niederösterreich,1690879,1845,659,60
2020-04-11,Kärnten,562089,288,116,8
2020-04-11,Burgenland,296010,212,104,1
2020-04-11,Oberösterreich,1495608,1594,695,24
2020-04-12,Tirol,760105,2644,1424,76
2020-04-12,Wien,1920949,1704,847,79
2020-04-12,Vorarlberg,399237,602,376,8
2020-04-12,Steiermark,1247077,1190,319,69
2020-04-12,Österreich,8932664,10956,5098,348
2020-04-12,Oberösterreich,1495608,1600,719,25
2020-04-12,Burgenland,296010,219,108,2
2020-04-12,Salzburg,560710,845,460,21
2020-04-12,Niederösterreich,1690879,1862,723,60
2020-04-12,Kärnten,562089,290,122,8
2020-04-13,Burgenland,296010,222,110,2
2020-04-13,Kärnten,562089,291,125,10
2020-04-13,Niederösterreich,1690879,1877,794,65
2020-04-13,Oberösterreich,1495608,1612,744,25
2020-04-13,Salzburg,560710,848,486,22
2020-04-13,Steiermark,1247077,1209,341,76
2020-04-13,Tirol,760105,2659,1485,78
2020-04-13,Vorarlberg,399237,603,387,8
2020-04-13,Wien,1920949,1722,911,83
2020-04-13,Österreich,8932664,11043,5383,369
2020-04-14,Österreich,8932664,11192,5873,381
2020-04-14,Wien,1920949,1773,988,85
2020-04-14,Vorarlberg,399237,612,402,10
2020-04-14,Tirol,760105,2673,1560,81
2020-04-14,Steiermark,1247077,1227,403,77
2020-04-14,Oberösterreich,1495608,1626,817,25
2020-04-14,Niederösterreich,1690879,1910,909,68
2020-04-14,Kärnten,562089,293,134,11
2020-04-14,Burgenland,296010,227,119,2
2020-04-14,Salzburg,560710,851,541,22
2020-04-15,Österreich,8932664,11320,6322,397
2020-04-15,Wien,1920949,1798,1060,87
2020-04-15,Vorarlberg,399237,617,419,10
2020-04-15,Tirol,760105,2694,1677,85
2020-04-15,Steiermark,1247077,1246,435,81
2020-04-15,Salzburg,560710,857,570,23
2020-04-15,Niederösterreich,1690879,1938,979,70
2020-04-15,Kärnten,562089,294,142,11
2020-04-15,Burgenland,296010,228,130,2
2020-04-15,Oberösterreich,1495608,1648,910,28
2020-04-16,Österreich,8932664,11432,6731,418
2020-04-16,Wien,1920949,1831,1108,94
2020-04-16,Vorarlberg,399237,619,430,11
2020-04-16,Steiermark,1247077,1265,488,83
2020-04-16,Tirol,760105,2715,1777,87
2020-04-16,Oberösterreich,1495608,1654,977,29
2020-04-16,Burgenland,296010,236,138,3
2020-04-16,Salzburg,560710,865,599,25
2020-04-16,Niederösterreich,1690879,1953,1056,75
2020-04-16,Kärnten,562089,294,158,11
2020-04-17,Burgenland,296010,244,139,3
2020-04-17,Kärnten,562089,295,165,12
2020-04-17,Niederösterreich,1690879,1971,1125,76
2020-04-17,Oberösterreich,1495608,1673,1071,29
2020-04-17,Salzburg,560710,869,623,25
2020-04-17,Steiermark,1247077,1280,530,86
2020-04-17,Tirol,760105,2719,1862,91
2020-04-17,Vorarlberg,399237,621,447,13
2020-04-17,Wien,1920949,1859,1144,97
2020-04-17,Österreich,8932664,11531,7106,432
2020-04-18,Österreich,8932664,11590,7343,449
2020-04-18,Wien,1920949,1882,1170,102
